"","sciname","Genus","Species","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"28","Scaphirhynchus albus","Scaphirhynchus","albus",3814,"(Forbes & Richardson, 1905)","Pallid sturgeon","Scalb_u2.jpg",NA,NA,NA,32,"Scaphirhynchinae",2550,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,41,32514,NA,NA,67.27,200,"TL",NA,NA,58490,81.65,"TL",NA,NA,12193,130000,NA,52332,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Adults inhabit large, deep, turbid river channels, usually in strong current over firm sand or gravel (Ref. 10294, 58490).  They feed on aquatic insect immatures, particularly caddisfly larvae, and small fish (Ref. 10294).  Threatened due to over harvesting and habitat loss (Ref. 58490).  No length type given but assumed to be in TL.",NA,0.625,0,1,"1991-05-01T00:00:00.000Z",2,"2014-07-04T00:00:00.000Z",10,"1994-03-23T00:00:00.000Z",NA,2595
"29","Scaphirhynchus platorynchus","Scaphirhynchus","platorynchus",3814,"(Rafinesque, 1820)","Shovelnose sturgeon","Scpla_u0.jpg",NA,NA,NA,32,"Scaphirhynchinae",2550,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,43,50937,5,273,60.55,108,"TL",NA,NA,86798,72,"TL",NA,NA,12193,4880,NA,4699,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums",NA,273,-1,4699,"harmless",NA,"electrosensing only",10311,NA,-1,"Occurs in the bottom of main channels and embayments of large turbid rivers; frequently in flowing water over sand and mixed with gravel and mud.  Feeds primarily on larvae of aquatic insects (especially burrowing mayflies, caddis larvae and midge larvae (Ref. 10294)), worms, and crustaceans (Ref. 50937).  Spawning occurs from April to June in large rivers in areas of swift current and coarse substrates (Ref. 10294).",NA,0.625,0,1,"1991-05-01T00:00:00.000Z",10,"2013-10-24T00:00:00.000Z",1,"1994-04-28T00:00:00.000Z",NA,2596
"30","Neoceratodus forsteri","Neoceratodus","forsteri",5259,"(Krefft, 1870)","Australian lungfish","Nefor_u0.jpg",NA,NA,NA,27,NA,701,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,71.72,170,"TL",NA,NA,26188,100,"TL",NA,NA,5259,40000,NA,5259,"NEFOR_U1",NA,NA,NA,5259,"subsistence fisheries","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","based mainly on capture",9183,0,NA,"harmless",NA,"electrosensing only",36739,NA,-1,"Inhabits mud, sand or gravel bottoms (Ref. 44894).  Sluggish species that prefers still or slow-flowing waters, usually in deep pools.  During period of drought, it can tolerate stagnant conditions by breathing air, surfacing 1-2 times per hour; however, it lacks the ability to survive dry spells by aestivation; it is a facultative air-breather that will die if forced to depend on air breathing (Ref. 36739, 44894).  The sound of the lungfish exhaling air at the surface prior to inhaling a fresh breath has been likened to that made by a small bellows.  Nocturnally active (Ref. 44894).  Feeds on frogs, tadpoles, fishes, shrimp, earthworms, snails, aquatic plants and native fruits fallen from trees overhanging the creeks (Ref. 36739, 44894).  It browses among the detritus, using its electroreceptors to pick up hidden mollusks, worms or crustaceans.  Protected by law.  Fossil records show that this species remained virtually unchanged for over 380 million years.  The Steinhart Aquarium in San Francisco had a specimen of 1 m length, 20 kg weight, and more than 65 years of age.  In 1933, an Australian lungfish was transported as a fully mature male (10 yrs. old at maturity) to the Shedd Aquarium, Chicago (C. Skonieczny, pers. comm. 11/08, e-mail: CSkonieczny@sheddaquarium.org).",NA,2.0039,0,3,"1991-07-05T00:00:00.000Z",14,"2008-11-07T00:00:00.000Z",1,"1994-01-28T00:00:00.000Z",NA,4512
"31","Psephurus gladius","Psephurus","gladius",4537,"(Martens, 1862)","Chinese paddlefish","Psgla_j0.jpg",NA,NA,NA,33,NA,4151,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67,300,"TL",NA,NA,28581,NA,NA,NA,NA,NA,3e+05,NA,28581,"PSGLA_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",4537,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Grows to 3 m in length and 300 kg in weight (Ref. 28581).  Reported length of 7 m SL (Ref. 6866) and 500 kg weight (Ref. 4537, 58490) are doubtful (Paxton, pers. comm.).  Piscivorous throughout most of its life. Threatened due to over harvesting and habitat loss (Ref. 58490).",NA,1.25,0,3,"1991-07-06T00:00:00.000Z",14,"2011-11-28T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,4513
"32","Chasmistes cujus","Chasmistes","cujus",5723,"Cope, 1883","Cui-ui",NA,NA,NA,NA,125,"Catostominae",69,NA,"elongated","O",NA,NA,0,-1,0,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,41,47054,NA,NA,69.61,67,"TL",NA,NA,5723,NA,NA,NA,NA,NA,2720,NA,40637,NA,NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in deep water.  Spawns only around margin of Pyramid Lake in Nevada, USA but formerly made spectacular spawning runs up Truckee River in Nevada, USA.  Populations were subject to intensive fishing in the 19th and early 20th century; habitats have been greatly altered by water development projects; species is now endangered (Ref. 47054).",NA,0.5312,0,1,"1991-05-01T00:00:00.000Z",303,"2006-04-17T00:00:00.000Z",1,"2003-05-22T19:41:20.000Z",NA,2983
"33","Hippocampus erectus","Hippocampus","erectus",30915,"Perry, 1810","Lined seahorse","Hiere_u0.gif",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,1,73,30915,NA,NA,NA,1,1285,4.67,72465,31.2,19,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,"HIERE_U0",NA,NA,NA,12238,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",12238,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Generally in coastal waters; often around man-made structures (Ref. 26938).  Usually attached to gorgonians or seagrasses but may occur in floating <i>Sargassum</i> or swimming freely in midwater (Ref. 9710).  Those that live in <i>Sargassum</i> usually have bony protuberances and fleshy tabs that may serve as camouflage.  Has been reared in captivity (Ref. 35420, 35422).  Move into deeper waters during winter (Ref. 36630).  Feeds by sucking in small organisms, using its long face as a pipette (Ref. 26938).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Length type refers to Height (= from top of coronet to the tip of straightened tail).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",1472,"2011-07-19T00:00:00.000Z",1,"1996-12-09T00:00:00.000Z",NA,3283
"34","Hippocampus ingens","Hippocampus","ingens",30915,"Girard, 1858","Pacific seahorse","Hiing_u1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,0,60,30915,3,18,5227,NA,NA,NA,NA,23.58,30,"TL",NA,NA,2850,NA,NA,NA,NA,NA,NA,NA,NA,"HIING_U0",NA,NA,NA,12238,"commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-1,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",30915,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Nocturnal.  Occur in offshore waters, mostly captured by dredging at 10 m or deeper.  Occasionally caught at surface.  Are often camouflaged within the branches of gorgonians and black coral trees where they are seen to curl their tail around the branches (Ref. 5227).  Have been found in the stomachs of Pacific yellowfin tuna and bluefin tuna (Ref. 30915).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",949,"2006-06-21T00:00:00.000Z",1,"1999-08-24T00:00:00.000Z",NA,3284
"35","Hippocampus reidi","Hippocampus","reidi",30915,"Ginsburg, 1933","Longsnout seahorse","Hirei_m0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"reef-associated","non-migratory",NA,0,55,30915,NA,NA,NA,NA,NA,NA,NA,11.63,17.5,"OT",NA,NA,30915,NA,NA,NA,NA,NA,NA,NA,NA,"HIREI_U0",NA,NA,NA,12238,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Uncommon in most areas, but may be locally common in certain places.  Usually attached to gorgonians or seagrasses but may occur in floating <i>Sargassum</i> or swimming freely in midwater (Ref. 9710).  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Has been reared in captivity (Ref. 35409).  Length type refers to Height (= from top of coronet to the tip of straightened tail).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2,"2005-02-15T00:00:00.000Z",10,"1994-08-12T00:00:00.000Z",NA,3285
"36","Hippocampus zosterae","Hippocampus","zosterae",30915,"Jordan & Gilbert, 1882","Dwarf seahorse","Hizos_f0.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"demersal","non-migratory",NA,0,5,52034,NA,NA,NA,1,12238,NA,NA,36.78,5,"TL",NA,NA,7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12238,"minor commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Shallow grass flats, especially in association with <i>Zostera</i> and other seagrass; periodically found in floating vegetation.  Diurnal, males more site faithful than females.  Ovoviviparous (Ref. 205).  The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Specimens lose their skin filaments in aquaria (Ref. 30915).  Has been reared in captivity (Ref. 35420).",NA,0.5,0,1,"1991-05-01T00:00:00.000Z",2,"2005-02-17T00:00:00.000Z",1,"1999-09-10T00:00:00.000Z",NA,3286
"37","Acipenser ruthenus","Acipenser","ruthenus",6866,"Linnaeus, 1758","Sterlet sturgeon","Acrut_u2.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,0,"demersal","potamodromous",51243,1,NA,NA,NA,NA,NA,20,556,69.67,273,64.47,125,"TL",NA,NA,6866,40,"TL",NA,NA,556,16000,NA,593,"ACRUT_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,"seines",NA,0,0,0,0,0,0,0,0,-1,0,"commercial",NA,26920,"never/rarely",NA,"public aquariums",NA,273,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"A fluvial fish which inhabits rivers and their tributaries (Ref. 9696).  Occurs in large rivers, usually in the current and in deep water.  Moves to flooded areas to feed (Ref.  59043).  Chiefly potamodromous (Ref. 58897).  Like other sturgeons, it aggregates in bottom holes in winter and exhibits little activity.  In spring, when ice breaks, it rises from the bottom holes and moves upstream for spawning (Ref. 593).  Spawns in habitats with strong-current on gravel, rarely on gravel-sand bottom or in flooded sites.  Juveniles stay in riverine habitats during their first summer.  Classified as endangered species.  Anadromous populations are now extirpated; local populations are still surviving in most parts of range (Ref. 59043).",NA,0.5,0,2,"1991-08-19T00:00:00.000Z",10,"2010-07-14T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,4604
"38","Huso dauricus","Huso","dauricus",593,"(Georgi, 1775)","Kaluga","Hudau_u1.jpg",NA,NA,NA,32,"Acipenserinae",2361,NA,"elongated","O",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,0,50,50550,NA,NA,NA,80,56448,NA,NA,88.08,560,"TL",NA,NA,40142,NA,NA,NA,NA,NA,1e+06,NA,40142,"HUDAU_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,"",NA,"seines","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Adults inhabit rivers and lakes.  Adults do not spawn every year but at least every other year.  With increasing age, the spawning interval increases to three, four and more years (Ref. 593).  Feed on invertebrates in the first year then switch to juveniles of pelagic fishes, e.g., <i>Oncorhynchus keta</i>, at age 3 to 4 yrs., kaluga feed on adult fishes (Ref. 40142).",NA,0.75,0,2,"1991-08-26T00:00:00.000Z",2,"2007-09-11T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,4633
"39","Pseudoscaphirhynchus kaufmanni","Pseudoscaphirhynchus","kaufmanni",593,"(Kessler, 1877)","Amu Darya sturgeon","Pskau_u0.jpg",NA,NA,NA,32,"Acipenserinae",9823,NA,"elongated","O",NA,"Species of the genus <i>Pseudoscaphirhynchus</i> belong to the subfamily Acipenserinae, and not Scaphirhynchinae as it was previously considered (V. Birstein, pers. comm. 03/05 ).",0,-1,-1,0,"demersal","potamodromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.24,75,"TL",NA,NA,593,NA,NA,NA,NA,NA,2000,NA,593,NA,NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,"seines","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Its natural habitat and population have declined due to the breakage of the hydrological regime of the Amu Dariya River.  Usual weight not more than 600-700 grams.  Females with mature hard roe, very rare.  Apparently sensitive to oxygen content in the water, changes in its  chemical  content, and to pollution.  Fishing is prohibited (Ref. 35930).  Spawns at 16° C (Ref. 719).",NA,0.625,0,2,"1991-08-26T00:00:00.000Z",14,"2006-03-06T00:00:00.000Z",1,"1994-02-03T00:00:00.000Z",NA,4634
"40","Acipenser baerii","Acipenser","baerii",12255,"Brandt, 1869","Siberian sturgeon","Acbae_u2.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","O",NA,NA,0,-1,-1,0,"demersal","potamodromous",57765,0,200,57765,1,8,57765,63,57765,NA,NA,85.33,200,"TL",NA,NA,40476,NA,NA,NA,NA,NA,210000,NA,59043,NA,NA,NA,NA,4537,"highly commercial","unknown",NA,NA,NA,NA,NA,NA,-1,0,-1,0,0,0,0,0,0,0,"commercial",NA,12108,"never/rarely",NA,"public aquariums",NA,4537,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Found in deep and shallow parts of rivers, with moderate to swift current usually at depths of 1 to 8 m (Ref. 57765).  Adults live essentially in freshwater although some fish frequently occur in estuaries.  Males are sexually mature between 9 and 29 years; females between 9 and 34 years (Ref. 57765).  Spawn in main river channel over stone-gravel or gravel-sand bottom and with strong current (Ref. 59043).",NA,0.5,0,2,"1991-10-24T00:00:00.000Z",2,"2015-03-24T00:00:00.000Z",2411,"2014-02-26T00:00:00.000Z",NA,4683
"41","Acipenser gueldenstaedtii","Acipenser","gueldenstaedtii",9953,"Brandt & Ratzeburg, 1833","Danube sturgeon","Acgue_ua.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","anadromous",51243,2,100,NA,10,25,NA,46,3561,NA,NA,86.67,236,"TL",NA,NA,59043,145,"TL",NA,NA,3561,115000,NA,6866,"ACGUE_U0",NA,NA,NA,4537,"commercial","unknown",NA,NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,"commercial",NA,4537,"never/rarely",NA,"public aquariums","based mainly on breeding",2059,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Anadromous and freshwater populations exist.  At the sea, it occurs in shallow coastal and estuarine zones.  In freshwaters, it inhabits deep parts of large rivers with moderate to swift current (Ref. 59043).  Found mainly near the shore over sand and mud.  Usually solitary, but swarms when hibernating or during spawning migrations.  Occasionally forms schools (Ref. 3241).  Feeds on benthic molluscs, crustaceans and small fishes.  Spawns on stone or gravel bottom in large and deep rivers with strong current, 1-1.5 m/s (Ref. 59043).  Mainly propagated through artificial reproduction.",NA,0.5,0,2,"1991-11-05T00:00:00.000Z",10,"2013-04-17T00:00:00.000Z",97,"2003-01-03T00:00:00.000Z",NA,4712
"42","Probarbus jullieni","Probarbus","jullieni",7427,"Sauvage, 1880","Isok barb","Prjul_u3.jpg",NA,NA,NA,122,"No subfamily",8514,NA,"elongated","R",NA,NA,0,-1,-1,0,"demersal","potamodromous",37770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67,150,"SL",NA,NA,30857,28,"TL",NA,NA,2073,70000,NA,12369,"PRJUL_U1",NA,NA,NA,4537,"commercial","unknown",NA,"Food fish.",NA,NA,"castnets",NA,-1,-1,-1,0,0,0,0,0,-1,-1,"experimental",NA,7427,"never/rarely",NA,"never/rarely",NA,NA,-1,4537,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits mainly the mainstream of large rivers (Ref. 10431), with sand or gravel substrates and abundant mollusks populations (Ref. 12693).  Occurs in deep slow reaches (Ref. 37769).  Feeds on aquatic plants, insects and shelled mollusks.  Spawns in winter (late December-early February) in big riverine deltas over sand and gravel substrate with water current of 1.3 m/sec (Ref. 6459).  Undertakes spawning and trophic migrations in the Mekong basin.  Trophic migrations occurs throughout its occurrence range which takes place mainly at the onset of the flood season and are mainly undertaken by juveniles and subadults (Ref. 37770).  Upstream spawning migrations take place between October and February from Kompong Cham in Cambodia to Chiang Khong in Thailand.  At Chiang Khong , fishermen reported that <i>Probarbus</i> moves up the tributary Nam Ta in Laos to breed in March-April.  Three <i>Probarbus</i> species were also reported to migrate together, but spawn separately, in January-February at Sungkom, Nong Khai Province in Thailand (Ref. 37770).  Egg is buoyant, yellow and 2 mm in diameter.  Hatching occurs in 32 hrs at 23°C (Ref. 6459).  An excellent foodfish, sometimes consumed raw, but rather scarce so it fetches a high market price (Ref. 2686).  Eggs are especially priced (Ref. 12369).  Used to be cultured commercially in Thailand (Ref. 7306).  May be caught individually or in small numbers of any size incidentally with gillnetting and other fishing activities, at virtually any time or place in the Mekong mainstream (Ref. 10431), but mostly caught during November-January spawning migration, when it is by far the most important species in fisheries catch (Ref. 12369).  In the Mekong this important fisheries species is under serious long-term decline and this decline evidently is basin wide and the most obvious (but not necessarily only) reason is overfishing with gillnets during the reproductive migrations and spawning periods (Ref. 10431).  Attains 70 kg or more, but mostly marketed size nowadays are 5-20 kg (Ref. 12369).",NA,0.625,0,2,"1992-04-22T00:00:00.000Z",10,"2005-01-27T00:00:00.000Z",21,"1994-02-10T00:00:00.000Z",NA,5422
"43","Cheilinus undulatus","Cheilinus","undulatus",2334,"Rüppell, 1835","Humphead wrasse","Chund_ua.jpg",NA,NA,NA,362,"Cheilininae",1522,NA,"fusiform / normal","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,1,100,58652,NA,NA,NA,32,51676,NA,NA,73.88,229,"SL",NA,NA,9823,60,"TL",NA,NA,5450,191000,NA,9710,"CHUND_U4",NA,NA,NA,5374,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"","",0,0,0,0,-1,0,0,0,-1,0,"commercial","life cycle not closed",51676,"never/rarely",NA,"commercial","based mainly on capture",9210,-1,4699,"reports of ciguatera poisoning",5374,"no special ability",NA,NA,-1,"Inhabit steep outer reef slopes, channel slopes, and lagoon reefs (Ref. 1602).  Benthopelagic at 2-60 m (Ref. 58302).  Usually solitary but may occur in pairs.  Juveniles are encountered in coral-rich areas of lagoon reefs, where staghorn <i>Acropora</i> corals abound (Ref. 1602); also in algae reefs or seagrasses (Ref. 48636, 41878).  Adults rove across the reefs by day and rest in reef caves and under coral ledges at night (Ref. 31343).  Primary food are mollusks, fishes, sea urchins, crustaceans, and other invertebrates.  One of the few predators of toxic animals such as sea hares, boxfishes and crown-of-thorns starfish (Ref. 1602).  Oviparous, distinct pairing during breeding (Ref. 205).  Found in Hong Kong live fish markets (Ref. 27253).",NA,0.5078,0,14,"1992-06-10T00:00:00.000Z",2,"2011-07-28T00:00:00.000Z",154,"1995-10-03T00:00:00.000Z",NA,5604
"44","Hippocampus histrix","Hippocampus","histrix",30915,"Kaup, 1856","Thorny seahorse","Hihis_u1.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,0,-1,"reef-associated","non-migratory",NA,1,82,37816,15,40,90102,NA,NA,NA,NA,13.37,17,"TL",NA,NA,11441,NA,NA,NA,NA,NA,NA,NA,NA,"HIHIS_U6",NA,NA,NA,12238,"highly commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",12238,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"A rare inhabitant of shallow sheltered reefs, found among clumps of algae or in seagrass beds.  Large adult pelagic and probably associated with drifting debris.  Associated with sponges and sea-squirts (Ref. 30915, 58302).  Ovoviviparous (Ref. 205).  Feeds on zooplanktons and small crustaceans (Ref. 89972). The male carries the eggs in a brood pouch which is found under the tail (Ref. 205).  Use in traditional Chinese medicine is increasing with the rise in patent medicines (Ref. 30915).  Not common in the aquarium trade (Ref. 30915).",NA,0.5,0,14,"1992-06-16T00:00:00.000Z",2291,"2014-10-08T00:00:00.000Z",1,"1996-12-09T00:00:00.000Z",NA,5954
"45","Hippocampus kuda","Hippocampus","kuda",30915,"Bleeker, 1852","Spotted seahorse","Hikud_ua.jpg",NA,NA,NA,258,"Hippocampinae",5566,NA,"other","R",NA,NA,0,0,-1,-1,"reef-associated","non-migratory",NA,0,68,37816,0,8,90102,NA,NA,NA,NA,14.62,30,"TL",NA,NA,1602,NA,NA,NA,NA,NA,NA,NA,NA,"HIKUD_U2","HIKUD_F0",NA,NA,12238,"highly commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"commercial",NA,31845,"never/rarely",NA,"commercial","based mainly on capture",7309,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit seagrass and marine algae areas of estuaries and seaward reefs; also on steep mud slopes.  Found in open water and attached to drifting <i>Sargassum</i> up to 20 km from shore.  Adults in pairs (Ref. 48635).  Benthic to pelagic (Ref. 58302).  Feeds on zooplankton (Ref. 85309).  Ovoviviparous (Ref. 205).  The males carry the eggs in a brood pouch which is found under the tail (Ref. 205).  Not shown to be monogamous in the laboratory (Ref. 30915). Very popular aquarium fish.  Highly valued species in traditional Chinese medicine (Ref. 30915).  Has been reared in captivity (Ref. 35416).",NA,0.5,0,14,"1992-06-16T00:00:00.000Z",2291,"2013-02-28T00:00:00.000Z",1,"1999-08-24T00:00:00.000Z",NA,5955
"46","Acipenser schrenckii","Acipenser","schrenckii",3881,"Brandt, 1869","Amur sturgeon","Acsch_u2.jpg",NA,NA,NA,32,"Acipenserinae",2154,NA,"elongated","R",NA,NA,0,-1,-1,-1,"demersal","anadromous",26364,NA,NA,NA,NA,NA,NA,65,56448,NA,NA,85.31,300,"TL",NA,NA,40142,NA,NA,NA,NA,NA,190000,NA,40142,NA,NA,NA,NA,4537,"commercial","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"never/rarely","",NA,0,NA,"harmless",NA,"electrosensing only",10311,NA,-1,"Adults occur in stretches of rivers with sandy or stony bottom.  Feed on benthic organisms.  Highly prized fish (Ref. 41072).",NA,0.5,0,22,"1992-07-29T00:00:00.000Z",2,"2007-09-11T00:00:00.000Z",1,"1994-04-28T00:00:00.000Z",NA,6085
"47","Caecobarbus geertsii","Caecobarbus","geertsii",86866,"Boulenger, 1921","Congo blind barb",NA,NA,NA,NA,122,"No subfamily",5698,NA,NA,"R",NA,NA,0,-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.16,12,"TL",NA,NA,86866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"of no interest","unknown",NA,NA,"",NA,"","",0,0,0,0,0,0,0,0,0,0,"never/rarely","",NA,"never/rarely",NA,"commercial","based mainly on breeding",4537,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Blind fish which lives in caves (Ref. 86866), about (700)750-850 m above sea-level (Ref. 2801, 86866).  Feeds on small crustaceans living in the caves and also on animals washed into the caves (Ref. 557), although this needs confirmation (Ref. 86866).  Estimated longevity 9-14 years, but may exceed 15 years (Ref. 86866).  Not closely related to any extant epigean species of the Congo region.  Classified as `textbook and popular press fish' in Ref. 4537.",NA,1,0,22,"1992-07-30T00:00:00.000Z",1307,"2011-05-10T20:56:16.000Z",21,"1994-02-08T00:00:00.000Z",NA,6100
